ENGLISH NAME,EASTING,NORTHING,STUDENTS GENDER,DISTRICT
HHCKLA BUDDHIST LEUNG CHIK WAI COLLEGE,814423,826522,CO-ED,TUEN MUN
HKWMA CHU SHEK LUN SECONDARY SCHOOL,839841.8,820943.1,CO-ED,KWUN TONG
TWGH LI KA SHING COLLEGE,832804,839230,CO-ED,NORTH
MARYKNOLL CONVENT SCH (SEC SECTION),836618,821018,GIRLS,KOWLOON CITY
"WAH YAN COLLEGE, KOWLOON",835921.6,819501.2,BOYS,YAU TSIM MONG
HOLY CARPENTER SECONDARY SCHOOL,837418,818755,CO-ED,KOWLOON CITY
YPI&CA LEE LIM MING COLLEGE,814579,828958,CO-ED,TUEN MUN
SKH LI PING SECONDARY SCHOOL,831914,826813,CO-ED,TSUEN WAN
HENRIETTA SECONDARY SCHOOL,838109,816994,CO-ED,EASTERN
HKRSS TAI PO SECONDARY SCHOOL,835690,835690,CO-ED,TAI PO
PLK VICWOOD KT CHONG SIXTH FORM COLLEGE,834911,820670,CO-ED,YAU TSIM MONG
LINGNAN HANG YEE MEMORIAL SECONDARY SCH,843925,813847,CO-ED,EASTERN
NEWMAN CATHOLIC COLLEGE,835756,819080,BOYS,YAU TSIM MONG
FDBWA SZETO HO SECONDARY SCHOOL,842267,818618,CO-ED,KWUN TONG
VALTORTA COLLEGE,835356,834009,CO-ED,TAI PO
CSBS MRS AW BOON HAW SEC SCH,815841,827208,CO-ED,TUEN MUN
YAN CHAI HOSPITAL LAW CHAN CHOR SI COLL,839460,821018,CO-ED,KWUN TONG
TWGH LEE CHING DEA MEMORIAL COLLEGE,838041,816251,CO-ED,EASTERN
ST BONAVENTURE COLLEGE & HIGH SCHOOL,838382,823006,CO-ED,WONG TAI SIN
HONG KONG CHINESE WOMEN'S CLUB COLLEGE,840672,816043,CO-ED,EASTERN
TAK NGA SECONDARY SCHOOL,836094,821242,GIRLS,SHAM SHUI PO
METHODIST COLLEGE,835760,818904,CO-ED,YAU TSIM MONG
CCC KEI HEEP SECONDARY SCHOOL,837976,822172,CO-ED,WONG TAI SIN
POK OI HOSPITAL CHAN KAI MEMORIAL COLL,836395,825221,CO-ED,SHA TIN
YAN CHAI HOSPITAL NO. 2 SECONDARY SCHOOL,814568,827849,CO-ED,TUEN MUN
YING WA GIRLS' SCHOOL,834769.3,821623.5,GIRLS,CENTRAL AND WESTERN
PO KOK SECONDARY SCHOOL,844290,818717,CO-ED,SAI KUNG
POH 80TH ANNIVERSARY TANG YING HEI COLL,844681,818859,CO-ED,SAI KUNG
TWGH SC GAW MEMORIAL COLLEGE,828516,823726,CO-ED,KWAI TSING
SKH KEI HAU SECONDARY SCHOOL,842270,818542,CO-ED,KWUN TONG
PUI YING SECONDARY SCHOOL,831980,812711,CO-ED,SOUTHERN
SEMPLE MEMORIAL SECONDARY SCHOOL,815784,827247,CO-ED,TUEN MUN
TUEN MUN CATHOLIC SECONDARY SCHOOL,815094,829692,CO-ED,TUEN MUN
CHAN SUI KI (LA SALLE) COLLEGE,836942,820051,BOYS,KOWLOON CITY
PUI SHING CATHOLIC SECONDARY SCHOOL,818080,834526,CO-ED,YUEN LONG
SKH TSOI KUNG PO SECONDARY SCHOOL,836624,819562,CO-ED,KOWLOON CITY
TWGH LO KON TING MEMORIAL COLLEGE,820334,834420,CO-ED,YUEN LONG
PLK WAI YIN COLLEGE,833259,812375,CO-ED,SOUTHERN
ST FRANCIS OF ASSISI'S COLLEGE,832322,838681,CO-ED,NORTH
CCC TAM LEE LAI FUN MEMORIAL SEC SCH,815685,829339,CO-ED,TUEN MUN
CCC MING KEI COLLEGE,834965.9,819995.8,CO-ED,YAU TSIM MONG
CCC KEI YUEN COLLEGE,821703,833620,CO-ED,YUEN LONG
LKWFSL LAU WONG FAT SECONDARY SCHOOL,834804,820744,CO-ED,YAU TSIM MONG
PUI CHING MIDDLE SCHOOL,836299.5,819845.3,CO-ED,KOWLOON CITY
